Opportunity ID,Opportunity Name,Account,Territory,Country,City,Sales Rep,Stage,Amount ($),Probability %,Weighted Pipeline ($),Close Date,Created Date,Product,Industry,Opportunity Type
OPP-2026-0001,Mumbai Systems 01 - Cloud Database,Mumbai Systems 01,West,India,Mumbai,Aarav Shah,Closed Lost,13333.33,0.0,0.0,2026-05-25,2026-03-04,Cloud Database,Technology,New Business
OPP-2026-0002,Bengaluru Enterprises 02 - Cloud Database,Bengaluru Enterprises 02,South,India,Bengaluru,Ananya Iyer,Negotiation,3888.89,0.65,2527.78,2026-04-14,2026-01-24,Cloud Database,Telecom,Renewal
OPP-2026-0003,Gurugram Enterprises 03 - Cloud Security,Gurugram Enterprises 03,North,India,Gurugram,Vikram Bhatia,Closed Lost,33333.33,0.0,0.0,2026-07-08,2026-04-18,Cloud Security,Telecom,Expansion
OPP-2026-0004,Bhubaneswar Digital 04 - Data & AI,Bhubaneswar Digital 04,East,India,Bhubaneswar,Madhurima Roy,Negotiation,13333.33,0.75,10000.0,2026-09-15,2026-02-09,Data & AI,Retail,New Business
OPP-2026-0005,Mumbai Digital 05 - Cloud Security,Mumbai Digital 05,West,India,Mumbai,Neha Patel,Proposal,13333.33,0.6,8000.0,2026-08-31,2026-07-26,Cloud Security,Telecom,New Business
OPP-2026-0006,Bengaluru Holdings 06 - OCI Infrastructure,Bengaluru Holdings 06,South,India,Bengaluru,Ananya Iyer,Proposal,16666.67,0.6,10000.0,2026-08-10,2026-05-28,OCI Infrastructure,Retail,Renewal
OPP-2026-0007,Noida Holdings 07 - Cloud Database,Noida Holdings 07,North,India,Noida,Arjun Singh,Qualification,72222.22,0.15,10833.33,2026-08-23,2026-04-27,Cloud Database,Healthcare,Expansion
OPP-2026-0008,Patna Holdings 08 - Cloud Database,Patna Holdings 08,East,India,Patna,Madhurima Roy,Closed Lost,66666.67,0.0,0.0,2026-07-18,2026-01-19,Cloud Database,Telecom,Renewal
OPP-2026-0009,Pune Enterprises 09 - Cloud Database,Pune Enterprises 09,West,India,Pune,Neha Patel,Negotiation,66666.67,0.75,50000.0,2026-07-31,2026-06-26,Cloud Database,Technology,Expansion
OPP-2026-0010,Chennai Holdings 10 - Observability,Chennai Holdings 10,South,India,Chennai,Priya Nair,Proposal,13333.33,0.55,7333.33,2026-04-06,2026-01-17,Observability,Technology,Expansion
OPP-2026-0011,Jaipur Systems 11 - Cloud Database,Jaipur Systems 11,North,India,Jaipur,Simran Kaur,Closed Lost,27777.78,0.0,0.0,2026-05-09,2026-02-06,Cloud Database,BFSI,Renewal
OPP-2026-0012,Patna Systems 12 - Data & AI,Patna Systems 12,East,India,Patna,Madhurima Roy,Closed Won,22222.22,1.0,22222.22,2026-08-25,2026-05-30,Data & AI,BFSI,New Business
